Food Name,"3 in 1 white coffee (less sugar)"
Description,"Instant white coffee premixed with creamer and less sugar"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 cup (200ml) = 200ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (200ml)
Energy (kcal),74,148
Protein (g),0.45,0.9
Total Fat (g),2.89,5.78
Saturated Fat (g),2.61,5.22
Trans Fat (g),34.91,69.82
Carbohydrate (g),11.55,23.1
Sugar (g),6.45,12.9
Added Sugar (g),-,-
Dietary Fibre (g),0.52,1.04
Sodium (mg),31,62
Potassium (mg),-,-
Calcium (mg),0,0
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
