Food Name,"Canned pink salmon, in brine (drained)"
Description,"Cured pork leg that has been glazed with honey and oven baked until golden, offering a tender, moist texture with sweet, smoky flavour and caramelised exterior."
Food Group,"Fish and seafood"
Food Subgroup,"Processed fish and seafood"
Edible Portion,"77%"
Default Serving Size,"1 can(s) = 245g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (245g)
Energy (kcal),138,260
Protein (g),23.1,43.58
Total Fat (g),5.02,9.47
Saturated Fat (g),0.9,1.7
Trans Fat (g),Trace,Trace
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),381,719
Potassium (mg),333,628
Calcium (mg),283,534
Iron (mg),0.77,1.45

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
