Food Name,"Coconut water"
Description,"Natural clear liquid from coconut"
Food Group,"Beverages"
Food Subgroup,"100% Juices"
Edible Portion,"100%"
Default Serving Size,"1 glass (250ml) = 250ml"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100ml,Per Serving (250ml)
Energy (kcal),22,55
Protein (g),0,0
Total Fat (g),0,0
Saturated Fat (g),Trace,Trace
Trans Fat (g),-,-
Carbohydrate (g),5.6,14
Sugar (g),5.6,14
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),1,3
Potassium (mg),-,-
Calcium (mg),14,35
Iron (mg),0.1,0.25

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
