Food Name,"Fresh mixed fruit or vegetable juice"
Description,"Freshly made juice made from a mix of multiple fruits and/or vegetables"
Food Group,"Beverages"
Food Subgroup,"100% Juices"
Edible Portion,"100%"
Default Serving Size,"1 medium cup (400ml) = 400ml"
Alternative Serving Size(s),"1 small cup (250ml) = 250ml"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100ml,Per Serving (400ml)
Energy (kcal),26,104
Protein (g),0.45,1.8
Total Fat (g),0.13,0.52
Saturated Fat (g),0.02,0.08
Trans Fat (g),0,0
Carbohydrate (g),5.5,22
Sugar (g),4.16,16.64
Added Sugar (g),-,-
Dietary Fibre (g),0.46,1.84
Sodium (mg),40,160
Potassium (mg),-,-
Calcium (mg),11,44
Iron (mg),0.55,2.2

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
