Food Name,"Grilled pork chop"
Description,"Grilled pork midloin chop"
Food Group,"Meat and alternatives"
Food Subgroup,"Pork-based dishes"
Edible Portion,"75%"
Default Serving Size,"1 piece(s) = 135g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (135g)
Energy (kcal),363,368
Protein (g),23.7,24
Total Fat (g),30.1,30.48
Saturated Fat (g),10.4,10.53
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),Trace,Trace
Added Sugar (g),-,-
Dietary Fibre (g),Trace,Trace
Sodium (mg),56,57
Potassium (mg),-,-
Calcium (mg),14,14
Iron (mg),1,1.01

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
