Food Name,"Itik sioh"
Description,"Nonya-style cuts of duck meat with skin in thick spicy tamarind juice"
Food Group,"Poultry"
Food Subgroup,"Duck-based dishes"
Edible Portion,"77%"
Default Serving Size,"1 scoop(s) (serving spoon) = 100g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (100g)
Energy (kcal),242,186
Protein (g),18.3,14.09
Total Fat (g),15.9,12.24
Saturated Fat (g),5.3,4.08
Trans Fat (g),-,-
Carbohydrate (g),6.4,4.93
Sugar (g),6.2,4.77
Added Sugar (g),-,-
Dietary Fibre (g),2.5,1.93
Sodium (mg),543,418
Potassium (mg),-,-
Calcium (mg),70,54
Iron (mg),1.7,1.31

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
