Food Name,"Kopi O kosong"
Description,"traditional black coffee without sugar or milk"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 small cup (150ml) = 150ml"
Alternative Serving Size(s),"1 medium cup (200ml) = 200ml"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100ml,Per Serving (150ml)
Energy (kcal),2,3
Protein (g),0.1,0.15
Total Fat (g),0,0
Saturated Fat (g),Trace,Trace
Trans Fat (g),-,-
Carbohydrate (g),0.4,0.6
Sugar (g),0.4,0.6
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),0,0
Potassium (mg),-,-
Calcium (mg),2,3
Iron (mg),0.05,0.08

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
