Food Name,"Milk fish, raw"
Description,"Fresh uncooked marine fish with silvery scales, white to greyish flesh, firm and tender texture"
Food Group,"Fish and seafood"
Food Subgroup,"Fish"
Edible Portion,"43%"
Default Serving Size,"1 whole = 384g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (384g)
Energy (kcal),148,244
Protein (g),20.53,33.9
Total Fat (g),6.73,11.11
Saturated Fat (g),1.66,2.74
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),72,119
Potassium (mg),292,482
Calcium (mg),51,84
Iron (mg),0.32,0.53

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
