Food Name,"Mocha (packaged)"
Description,"Ready-to-drink coffee beverage combining coffee, chocolate, milk and sugar"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 can = 240ml"
Alternative Serving Size(s),"1 bottle = 500ml"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (240ml)
Energy (kcal),58,139
Protein (g),1.63,3.91
Total Fat (g),1.38,3.31
Saturated Fat (g),0.87,2.09
Trans Fat (g),31.25,75
Carbohydrate (g),9.59,23.02
Sugar (g),8.43,20.23
Added Sugar (g),-,-
Dietary Fibre (g),0.09,0.22
Sodium (mg),49,118
Potassium (mg),-,-
Calcium (mg),0,0
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
