Food Name,"Roasted chicken thigh, without skin"
Description,"Dark meat from the upper leg portion of the chicken, prepared without skin and with bone, oven baked until cooked through, offering a tender, juicy texture."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"64%"
Default Serving Size,"1 piece(s) = 200g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (200g)
Energy (kcal),179,229
Protein (g),24.76,31.69
Total Fat (g),8.15,10.43
Saturated Fat (g),2.31,2.96
Trans Fat (g),Trace,Trace
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),106,136
Potassium (mg),269,344
Calcium (mg),9,12
Iron (mg),1.13,1.45

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
