Food Name,"2 in 1 black coffee (less sugar)"
Description,"Instant black coffee premixed with less sugar"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 cup (200ml) = 200ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (200ml)
Energy (kcal),22,44
Protein (g),0.19,0.38
Total Fat (g),0.04,0.08
Saturated Fat (g),0.02,0.04
Trans Fat (g),0,0
Carbohydrate (g),5.38,10.76
Sugar (g),3.36,6.72
Added Sugar (g),-,-
Dietary Fibre (g),0.14,0.28
Sodium (mg),6,12
Potassium (mg),-,-
Calcium (mg),0,0
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
