Food Name,"3 in 1 Vietnamese coffee"
Description,"Instant Vietnamese-style coffee premixed with creamer and sugar"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 cup (200ml) = 200ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (200ml)
Energy (kcal),87,174
Protein (g),0.1,0.2
Total Fat (g),3.05,6.1
Saturated Fat (g),2.13,4.26
Trans Fat (g),0,0
Carbohydrate (g),14.96,29.92
Sugar (g),12.68,25.36
Added Sugar (g),-,-
Dietary Fibre (g),0.81,1.62
Sodium (mg),59,118
Potassium (mg),-,-
Calcium (mg),0,0
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
