Food Name,"3 in 1 milk tea"
Description,"Instant black tea premixed with creamer and sugar"
Food Group,"Beverages"
Food Subgroup,"Tea and related drinks"
Edible Portion,"100%"
Default Serving Size,"1 cup (200ml) = 200ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (200ml)
Energy (kcal),59,118
Protein (g),0.53,1.06
Total Fat (g),1.74,3.48
Saturated Fat (g),1.81,3.62
Trans Fat (g),0,0
Carbohydrate (g),10.4,20.8
Sugar (g),7.17,14.34
Added Sugar (g),-,-
Dietary Fibre (g),0.5,1
Sodium (mg),23,46
Potassium (mg),-,-
Calcium (mg),10,20
Iron (mg),1.9,3.8

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
