Food Name,"Bell pepper, yellow, raw"
Description,"Raw yellow bell pepper, bright yellow colour with crisp, crunchy texture and mild, sweet taste"
Food Group,"Vegetables"
Food Subgroup,"Non-leafy vegetables"
Edible Portion,"80%"
Default Serving Size,"1 whole = 150g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (150g)
Energy (kcal),27,32
Protein (g),1,1.2
Total Fat (g),0.21,0.25
Saturated Fat (g),0.03,0.04
Trans Fat (g),0,0
Carbohydrate (g),6.32,7.58
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0.9,1.08
Sodium (mg),2,2
Potassium (mg),212,254
Calcium (mg),11,13
Iron (mg),0.46,0.55

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
