Food Name,"Boiled chicken thigh"
Description,"Boiled chicken thigh"
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"67%"
Default Serving Size,"1 piece(s) = 100g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (100g)
Energy (kcal),232,155
Protein (g),23.26,15.58
Total Fat (g),14.74,9.88
Saturated Fat (g),4.11,2.75
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),71,48
Potassium (mg),-,-
Calcium (mg),11,7
Iron (mg),1.37,0.92

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
