Food Name,"Boiled pumpkin"
Description,"Boiled pumpkin with skin and seeds intact"
Food Group,"Vegetables"
Food Subgroup,"Starchy vegetables"
Edible Portion,"80%"
Default Serving Size,"1 cup(s) = 120g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (120g)
Energy (kcal),20,19
Protein (g),0.72,0.69
Total Fat (g),0.07,0.07
Saturated Fat (g),0.03,0.03
Trans Fat (g),0,0
Carbohydrate (g),4.9,4.7
Sugar (g),2.08,2
Added Sugar (g),-,-
Dietary Fibre (g),1.1,1.06
Sodium (mg),1,1
Potassium (mg),-,-
Calcium (mg),15,14
Iron (mg),0.57,0.55

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
