Food Name,"Braised chicken liver"
Description,"Soft organ meat from the chicken's liver, with large vessels, gently braised until tender, offering a smooth, creamy texture with a rich, earthy flavour and distinctive iron-like taste."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"98%"
Default Serving Size,"1 piece(s) = 44g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (44g)
Energy (kcal),167,72
Protein (g),24.46,10.55
Total Fat (g),6.51,2.81
Saturated Fat (g),2.06,0.89
Trans Fat (g),Trace,Trace
Carbohydrate (g),0.87,0.38
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),76,33
Potassium (mg),263,113
Calcium (mg),11,5
Iron (mg),11.63,5.01

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
