Food Name,"Brussels sprouts, raw"
Description,"Raw Brussels sprouts, small green cabbage-like buds, firm crisp texture with mild bitter taste."
Food Group,"Vegetables"
Food Subgroup,"Non-leafy vegetables"
Edible Portion,"68%"
Default Serving Size,"1 whole = 19g"
Alternative Serving Size(s),"1 cup(s) = 88g"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (19g)
Energy (kcal),43,6
Protein (g),3.38,0.44
Total Fat (g),0.3,0.04
Saturated Fat (g),0.06,0.01
Trans Fat (g),0,0
Carbohydrate (g),8.95,1.16
Sugar (g),2.2,0.28
Added Sugar (g),-,-
Dietary Fibre (g),3.8,0.49
Sodium (mg),25,3
Potassium (mg),389,50
Calcium (mg),42,5
Iron (mg),1.4,0.18

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
