Food Name,"Century egg"
Description,"Preserved egg with dark jelly-like texture"
Food Group,"Dairy and eggs"
Food Subgroup,"Eggs"
Edible Portion,"51%"
Default Serving Size,"1 whole = 644g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (644g)
Energy (kcal),165,542
Protein (g),13.9,45.65
Total Fat (g),9.3,30.54
Saturated Fat (g),-,-
Trans Fat (g),-,-
Carbohydrate (g),6.5,21.35
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),385,1264
Potassium (mg),-,-
Calcium (mg),68,223
Iron (mg),3.2,10.51

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
