Food Name,"Chicken breast, raw, without skin"
Description,"Raw, uncooked white meat from the breast portion of the chicken, prepared without skin and with bone, displaying a pale pink colour with firm texture."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"78%"
Default Serving Size,"1 palm-sized piece(s) = 90g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (90g)
Energy (kcal),120,84
Protein (g),22.5,15.8
Total Fat (g),2.62,1.84
Saturated Fat (g),0.56,0.39
Trans Fat (g),Trace,Trace
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),45,32
Potassium (mg),334,234
Calcium (mg),5,4
Iron (mg),0.37,0.26

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
