Food Name,"Chicken egg, whole, raw"
Description,"Fresh whole egg in shell with both white and yolk. Uncooked."
Food Group,"Dairy and eggs"
Food Subgroup,"Eggs"
Edible Portion,"87%"
Default Serving Size,"1 whole (medium) = 55g"
Alternative Serving Size(s),"1 whole (small) = 45g, 1 whole (large) = 65g"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (55g)
Energy (kcal),143,68
Protein (g),12.56,6.01
Total Fat (g),9.51,4.55
Saturated Fat (g),3.13,1.5
Trans Fat (g),Trace,Trace
Carbohydrate (g),0.72,0.34
Sugar (g),0.37,0.18
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),142,68
Potassium (mg),138,66
Calcium (mg),56,27
Iron (mg),1.75,0.84

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
