Food Name,"Chicken thigh, raw, with skin"
Description,"Raw, uncooked dark meat from the upper leg portion of the chicke, prepared with skin and bone, displaying a deep pink colour."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"68%"
Default Serving Size,"1 piece(s) = 200g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (200g)
Energy (kcal),221,301
Protein (g),16.52,22.47
Total Fat (g),16.61,22.59
Saturated Fat (g),4.52,6.15
Trans Fat (g),Trace,Trace
Carbohydrate (g),0.25,0.34
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),81,110
Potassium (mg),204,277
Calcium (mg),7,10
Iron (mg),0.68,0.92

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
