Food Name,"Chicken, whole, raw, with skin"
Description,"Raw, uncooked whole chicken, with skin, displaying a pale pink colour with firm texture throughout various cuts including breast, thigh, wing and drumstick portions."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"70%"
Default Serving Size,"1 whole = 1046g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (1046g)
Energy (kcal),213,1560
Protein (g),18.33,134.21
Total Fat (g),14.83,108.59
Saturated Fat (g),4.24,31.05
Trans Fat (g),-,-
Carbohydrate (g),0.13,0.95
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),70,513
Potassium (mg),189,1384
Calcium (mg),11,81
Iron (mg),1.31,9.59

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
