Food Name,"Chicken wing, raw, with skin"
Description,"Raw, uncooked dark and white meat from the wing portion of the chicken, prepared with skin and bone, displaying a pinkish colour."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"57%"
Default Serving Size,"1 piece(s) = 107g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (107g)
Energy (kcal),191,116
Protein (g),17.52,10.69
Total Fat (g),12.85,7.84
Saturated Fat (g),3.54,2.16
Trans Fat (g),Trace,Trace
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),84,51
Potassium (mg),187,114
Calcium (mg),11,7
Iron (mg),0.46,0.28

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
