Food Name,"Chicken wing, raw, without skin"
Description,"Raw, uncooked dark and white meat from the wing portion of the chicken, prepared without skin and with bone, displaying a pinkish colour."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"57%"
Default Serving Size,"1 piece(s) = 100g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (100g)
Energy (kcal),126,72
Protein (g),21.97,12.52
Total Fat (g),3.54,2.02
Saturated Fat (g),0.94,0.54
Trans Fat (g),Trace,Trace
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),81,46
Potassium (mg),194,111
Calcium (mg),13,7
Iron (mg),0.88,0.5

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
