Food Name,"Coffee frappuccino"
Description,"Blended iced drink made with espresso, chocolate syrup, milk and ice, topped with whipped cream"
Food Group,"Beverages"
Food Subgroup,"Speciality coffee"
Edible Portion,"100%"
Default Serving Size,"1 medium cup (400ml) = 400ml"
Alternative Serving Size(s),"1 large cup (500ml) = 500ml"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100ml,Per Serving (400ml)
Energy (kcal),80,320
Protein (g),2.27,9.08
Total Fat (g),5.11,20.44
Saturated Fat (g),3.24,12.96
Trans Fat (g),0.03,0.12
Carbohydrate (g),6.68,26.72
Sugar (g),6.21,24.84
Added Sugar (g),-,-
Dietary Fibre (g),0.06,0.24
Sodium (mg),28,112
Potassium (mg),-,-
Calcium (mg),72,288
Iron (mg),0.14,0.56

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
