Food Name,"Common cabbage, raw"
Description,"Raw common cabbage, pale green leaves with crisp, crunchy texture and firm core, mild sweet taste throughout."
Food Group,"Vegetables"
Food Subgroup,"Leafy vegetables"
Edible Portion,"80%"
Default Serving Size,"1 cup(s) = 70g"
Alternative Serving Size(s),"1 whole = 908g"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (70g)
Energy (kcal),24,13
Protein (g),1.21,0.68
Total Fat (g),0.18,0.1
Saturated Fat (g),0.02,0.01
Trans Fat (g),0,0
Carbohydrate (g),5.37,3.01
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),2.3,1.29
Sodium (mg),18,10
Potassium (mg),246,138
Calcium (mg),47,26
Iron (mg),0.56,0.31

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
