Food Name,"Crayfish hor fun"
Description,"Stir-fried rice noodle, with crayfish with shell, black mushroom and shredded chicken meat, in soya gravy"
Food Group,"Grains and staples"
Food Subgroup,"Noodle/Pasta-based dishes"
Edible Portion,"95%"
Default Serving Size,"1 plate(s) = 602g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (602g)
Energy (kcal),85,486
Protein (g),2.13,12.18
Total Fat (g),3.1,17.73
Saturated Fat (g),1.12,6.41
Trans Fat (g),-,-
Carbohydrate (g),12.26,70.11
Sugar (g),0.43,2.46
Added Sugar (g),-,-
Dietary Fibre (g),1.3,7.43
Sodium (mg),257,1470
Potassium (mg),-,-
Calcium (mg),14,80
Iron (mg),Trace,Trace

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
