Food Name,"Dried hairtail scad"
Description,"Dehydrated ribbon fish with silvery-grey to brown color, firm and chewy texture"
Food Group,"Fish and seafood"
Food Subgroup,"Processed fish and seafood"
Edible Portion,"48%"
Default Serving Size,"1 whole = 53g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (53g)
Energy (kcal),168,43
Protein (g),38.4,9.77
Total Fat (g),1.5,0.38
Saturated Fat (g),-,-
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),-,-
Potassium (mg),-,-
Calcium (mg),134,34
Iron (mg),6,1.53

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
