Food Name,"Duck breast, raw, without skin"
Description,"Raw, uncooked red meat from the breast portion of the duck, prepared without skin and with bone, displaying a deep red colour."
Food Group,"Poultry"
Food Subgroup,"Duck"
Edible Portion,"72%"
Default Serving Size,"1 palm-sized piece(s) = 90g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (90g)
Energy (kcal),92,60
Protein (g),21.2,13.74
Total Fat (g),0.6,0.39
Saturated Fat (g),0.19,0.12
Trans Fat (g),Trace,Trace
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),60,39
Potassium (mg),380,246
Calcium (mg),4,3
Iron (mg),3.2,2.07

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
