Food Name,"Duck with salted vegetable soup"
Description,"Duck boiled with preserved salted vegetable served as soup"
Food Group,"Poultry"
Food Subgroup,"Duck-based dishes"
Edible Portion,"90%"
Default Serving Size,"1 bowl(s) = 450g"
Alternative Serving Size(s),"1 claypot(s) = 710g"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (450g)
Energy (kcal),45,182
Protein (g),6,24.3
Total Fat (g),2.2,8.91
Saturated Fat (g),0.8,3.24
Trans Fat (g),-,-
Carbohydrate (g),0.2,0.81
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0.1,0.41
Sodium (mg),466,1887
Potassium (mg),-,-
Calcium (mg),31,126
Iron (mg),0.6,2.43

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
