Food Name,"Espresso"
Description,"Concentrated shot of espresso brewed from ground coffee beans with boiling water in short size"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 shot = 30ml"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100ml,Per Serving (30ml)
Energy (kcal),2,1
Protein (g),0.12,0.04
Total Fat (g),0.18,0.05
Saturated Fat (g),0.09,0.03
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),14,4
Potassium (mg),-,-
Calcium (mg),2,1
Iron (mg),0.13,0.04

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
