Food Name,"Flavoured Horlicks (any type)"
Description,"Horlicks with added flavours"
Food Group,"Beverages"
Food Subgroup,"Malted and chocolate drinks"
Edible Portion,"100%"
Default Serving Size,"1 cup (200ml) = 200ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (200ml)
Energy (kcal),56,112
Protein (g),1.45,2.9
Total Fat (g),0.5,1
Saturated Fat (g),0.25,0.5
Trans Fat (g),0,0
Carbohydrate (g),11,22
Sugar (g),5.85,11.7
Added Sugar (g),-,-
Dietary Fibre (g),0.65,1.3
Sodium (mg),66,132
Potassium (mg),-,-
Calcium (mg),287,574
Iron (mg),1.55,3.1

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
