Food Name,"Flavoured milk"
Description,"Sweetened dairy drink made with milk and added flavours"
Food Group,"Dairy and eggs"
Food Subgroup,"Dairy milk"
Edible Portion,"100%"
Default Serving Size,"1 glass (250ml) = 250ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (250ml)
Energy (kcal),69,173
Protein (g),2.4,6
Total Fat (g),1.72,4.3
Saturated Fat (g),1.06,2.65
Trans Fat (g),0,0
Carbohydrate (g),10.76,26.9
Sugar (g),9.75,24.38
Added Sugar (g),-,-
Dietary Fibre (g),0.09,0.23
Sodium (mg),46,115
Potassium (mg),-,-
Calcium (mg),150,375
Iron (mg),1.13,2.82

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
