Food Name,"Fried chicken breast, with skin"
Description,"Cooked white meat from the breast portion of the chicken, prepared with skin and bone, and deep-fried until golden and crispy."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"75%"
Default Serving Size,"1 palm-sized piece(s) = 90g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (90g)
Energy (kcal),222,150
Protein (g),31.84,21.49
Total Fat (g),8.87,5.99
Saturated Fat (g),2.45,1.65
Trans Fat (g),-,-
Carbohydrate (g),1.64,1.11
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0.1,0.07
Sodium (mg),76,51
Potassium (mg),259,175
Calcium (mg),16,11
Iron (mg),1.19,0.8

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
