Food Name,"Fried kuning fish"
Description,"Deep-fried yellow banded trevally"
Food Group,"Fish and seafood"
Food Subgroup,"Fish-based dishes"
Edible Portion,"66%"
Default Serving Size,"1 piece(s) = 76g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (76g)
Energy (kcal),174,87
Protein (g),25.1,12.59
Total Fat (g),8.2,4.11
Saturated Fat (g),3.8,1.91
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),329,165
Potassium (mg),-,-
Calcium (mg),249,125
Iron (mg),1.7,0.85

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
