Food Name,"Grilled beef blade steak"
Description,"Red meat from the shoulder blade portion of beef cattle, with bone, grilled until cooked through, with slightly charred exterior. Lean muscle meat with internal and external fat attached."
Food Group,"Meat and alternatives"
Food Subgroup,"Beef"
Edible Portion,"93%"
Default Serving Size,"1 whole = 160g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (160g)
Energy (kcal),189,281
Protein (g),30.5,45.38
Total Fat (g),7.4,11.01
Saturated Fat (g),2.72,4.05
Trans Fat (g),0.31,0.46
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),46,68
Potassium (mg),380,565
Calcium (mg),6,9
Iron (mg),2.46,3.66

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
