Food Name,"Grilled beef chuck steak"
Description,"Red meat from the shoulder chuck portion of beef cattle, with bone, grilled until cooked through, with slightly charred exterior. Lean muscle meat with internal and external fat attached."
Food Group,"Meat and alternatives"
Food Subgroup,"Beef"
Edible Portion,"98%"
Default Serving Size,"1 whole = 307g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (307g)
Energy (kcal),260,782
Protein (g),31.2,93.87
Total Fat (g),15.1,45.43
Saturated Fat (g),5.34,16.07
Trans Fat (g),0.5,1.5
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),51,153
Potassium (mg),286,860
Calcium (mg),6,18
Iron (mg),2.98,8.97

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
