Food Name,"Grilled beef sirloin steak, lean"
Description,"Red meat from the rear sirloin portion of beef cattle, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat only, with all possible internal and external separable fat removed."
Food Group,"Meat and alternatives"
Food Subgroup,"Beef"
Edible Portion,"99%"
Default Serving Size,"1 whole = 165g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (165g)
Energy (kcal),158,258
Protein (g),30.5,49.82
Total Fat (g),3.8,6.21
Saturated Fat (g),1.24,2.03
Trans Fat (g),0.1,0.16
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),49,80
Potassium (mg),350,572
Calcium (mg),10,16
Iron (mg),2.2,3.59

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
