Food Name,"Kung po chicken"
Description,"Stir-fried chicken with skin, dried chilli and soya sauce"
Food Group,"Poultry"
Food Subgroup,"Chicken-based dishes"
Edible Portion,"91%"
Default Serving Size,"1 scoop(s) (serving spoon) = 100g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (100g)
Energy (kcal),242,220
Protein (g),18.4,16.74
Total Fat (g),17.1,15.56
Saturated Fat (g),6.1,5.55
Trans Fat (g),0.03,0.03
Carbohydrate (g),3.4,3.09
Sugar (g),0.8,0.73
Added Sugar (g),-,-
Dietary Fibre (g),Trace,Trace
Sodium (mg),367,334
Potassium (mg),-,-
Calcium (mg),17,15
Iron (mg),2.9,2.64

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
