Food Name,"Lamb midloin chop, raw"
Description,"Raw, uncooked red meat from the loin portion of lamb, with bone, displaying a deep red colour with tender texture and moderate marbling. Lean muscle meat with internal and external fat attached."
Food Group,"Meat and alternatives"
Food Subgroup,"Mutton"
Edible Portion,"84%"
Default Serving Size,"1 whole = 95g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (95g)
Energy (kcal),305,243
Protein (g),22,17.56
Total Fat (g),24.4,19.47
Saturated Fat (g),10.61,8.47
Trans Fat (g),2.09,1.67
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),53,42
Potassium (mg),242,193
Calcium (mg),7,6
Iron (mg),1.35,1.08

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
