Food Name,"Lamb ribloin cutlet, raw, lean"
Description,"Raw, uncooked red meat from the rib and loin portion of lamb, with bone, displaying a deep red colour with marbled texture. Lean muscle meat only, with all possible internal and external separable fat removed."
Food Group,"Meat and alternatives"
Food Subgroup,"Mutton"
Edible Portion,"71%"
Default Serving Size,"1 whole = 50g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (50g)
Energy (kcal),140,50
Protein (g),20.9,7.42
Total Fat (g),6.2,2.2
Saturated Fat (g),2.24,0.8
Trans Fat (g),0.26,0.09
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),64,23
Potassium (mg),350,124
Calcium (mg),9,3
Iron (mg),2.1,0.75

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
