Food Name,"Leek, raw"
Description,"Raw leek with white bulb base, green outer leaves, firm crisp texture with mild onion-like taste throughout."
Food Group,"Vegetables"
Food Subgroup,"Leafy vegetables"
Edible Portion,"65%"
Default Serving Size,"1 whole = 89g"
Alternative Serving Size(s),"1 cup(s) = 89g"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (89g)
Energy (kcal),61,35
Protein (g),1.5,0.87
Total Fat (g),0.3,0.17
Saturated Fat (g),0.04,0.02
Trans Fat (g),0,0
Carbohydrate (g),14.15,8.19
Sugar (g),3.9,2.26
Added Sugar (g),-,-
Dietary Fibre (g),1.8,1.04
Sodium (mg),20,12
Potassium (mg),180,104
Calcium (mg),59,34
Iron (mg),2.1,1.21

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
