Food Name,"Lime juice/calamansi drink"
Description,"Beverage made from lime juice concentrate and water"
Food Group,"Beverages"
Food Subgroup,"Juice drinks"
Edible Portion,"100%"
Default Serving Size,"1 glass (250ml) = 250ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (250ml)
Energy (kcal),45,113
Protein (g),0.06,0.15
Total Fat (g),0.01,0.03
Saturated Fat (g),0,0
Trans Fat (g),0,0
Carbohydrate (g),11.35,28.37
Sugar (g),10.07,25.18
Added Sugar (g),-,-
Dietary Fibre (g),0.03,0.08
Sodium (mg),4,10
Potassium (mg),-,-
Calcium (mg),0,0
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
