Food Name,"Oat cereal drink"
Description,"Beverage made from oats and grains"
Food Group,"Beverages"
Food Subgroup,"Cereal drinks"
Edible Portion,"100%"
Default Serving Size,"1 cup (200ml) = 200ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (200ml)
Energy (kcal),59,118
Protein (g),1.29,2.58
Total Fat (g),1.64,3.28
Saturated Fat (g),0.88,1.76
Trans Fat (g),0,0
Carbohydrate (g),9.28,18.56
Sugar (g),3.4,6.8
Added Sugar (g),-,-
Dietary Fibre (g),0.68,1.36
Sodium (mg),32,64
Potassium (mg),-,-
Calcium (mg),215,430
Iron (mg),0.22,0.44

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
