Food Name,"Pork chop baked rice"
Description,"Baked rice topped with pork chop and cream sauce, covered with melted cheese"
Food Group,"Grains and staples"
Food Subgroup,"Rice-based dishes"
Edible Portion,"94%"
Default Serving Size,"1 plate(s) = 440g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (440g)
Energy (kcal),158,653
Protein (g),8.9,36.81
Total Fat (g),5.26,21.76
Saturated Fat (g),2.87,11.87
Trans Fat (g),0.05,0.21
Carbohydrate (g),18.7,77.34
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),2,8.27
Sodium (mg),357,1477
Potassium (mg),-,-
Calcium (mg),68,281
Iron (mg),0.42,1.74

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
