Food Name,"Pork leg steak, raw, lean"
Description,"Raw, uncooked meat from the hind leg portion of pork, with bone, displaying a pale pink colour with firm, dense texture. Lean muscle meat only, with all possible internal and external separable fat removed."
Food Group,"Meat and alternatives"
Food Subgroup,"Pork"
Edible Portion,"92%"
Default Serving Size,"1 whole = 125g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (125g)
Energy (kcal),111,128
Protein (g),23.5,27.03
Total Fat (g),1.8,2.07
Saturated Fat (g),0.59,0.68
Trans Fat (g),0.01,0.01
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),0,0
Dietary Fibre (g),0,0
Sodium (mg),50,58
Potassium (mg),382,439
Calcium (mg),4,5
Iron (mg),0.81,0.93

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
