Food Name,"Pork ribs with cabbage soup"
Description,"Cabbage soup with pork ribs"
Food Group,"Meat and alternatives"
Food Subgroup,"Pork-based dishes"
Edible Portion,"93%"
Default Serving Size,"1 bowl(s) = 450g"
Alternative Serving Size(s),"1 claypot(s) = 710g"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (450g)
Energy (kcal),32,134
Protein (g),4.01,16.78
Total Fat (g),1.34,5.61
Saturated Fat (g),0.47,1.97
Trans Fat (g),-,-
Carbohydrate (g),0.72,3.01
Sugar (g),0.55,2.3
Added Sugar (g),-,-
Dietary Fibre (g),0.1,0.42
Sodium (mg),275,1151
Potassium (mg),-,-
Calcium (mg),1512,6328
Iron (mg),0.27,1.13

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
