Food Name,"Prawn fritter"
Description,"Deep-fried prawn with batter"
Food Group,"Fish and seafood"
Food Subgroup,"Seafood-based dishes"
Edible Portion,"96%"
Default Serving Size,"1 piece(s) = 62g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (62g)
Energy (kcal),272,162
Protein (g),16.4,9.76
Total Fat (g),17.9,10.65
Saturated Fat (g),8.8,5.24
Trans Fat (g),0,0
Carbohydrate (g),11.1,6.61
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),1,0.6
Sodium (mg),538,320
Potassium (mg),-,-
Calcium (mg),38,23
Iron (mg),0.8,0.48

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
