Food Name,"Salak"
Description,"Fresh tropical fruit, reddish-brown scaly skin with white flesh, crisp crunchy texture with sweet-acidic taste."
Food Group,"Fruit"
Food Subgroup,"Fresh fruit"
Edible Portion,"66%"
Default Serving Size,"1 whole = 90g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (90g)
Energy (kcal),60,36
Protein (g),0.5,0.3
Total Fat (g),0.1,0.06
Saturated Fat (g),-,-
Trans Fat (g),-,-
Carbohydrate (g),14.2,8.43
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),-,-
Sodium (mg),-,-
Potassium (mg),-,-
Calcium (mg),8,5
Iron (mg),0.4,0.24

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
