Food Name,"Spicy garlic mussels"
Description,"Mussels with shells stir fried with garlic and chilli"
Food Group,"Fish and seafood"
Food Subgroup,"Seafood-based dishes"
Edible Portion,"48%"
Default Serving Size,"1 scoop(s) (serving spoon) = 100g"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100g,Per Serving (100g)
Energy (kcal),156,75
Protein (g),7.9,3.79
Total Fat (g),12.9,6.19
Saturated Fat (g),4,1.92
Trans Fat (g),-,-
Carbohydrate (g),2,0.96
Sugar (g),0.3,0.14
Added Sugar (g),-,-
Dietary Fibre (g),1,0.48
Sodium (mg),501,240
Potassium (mg),-,-
Calcium (mg),123,59
Iron (mg),14.4,6.91

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
