Food Name,"Steamed octopus"
Description,"Steamed octopus with reddish-grey skin, white flesh, firm and dense texture"
Food Group,"Fish and seafood"
Food Subgroup,"Seafood"
Edible Portion,"82%"
Default Serving Size,"1 whole (large) = 950g"
Alternative Serving Size(s),"1 whole (baby) = 50g"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (950g)
Energy (kcal),164,1278
Protein (g),29.82,232.3
Total Fat (g),2.08,16.2
Saturated Fat (g),0.45,3.51
Trans Fat (g),-,-
Carbohydrate (g),4.4,34.28
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),460,3583
Potassium (mg),630,4908
Calcium (mg),106,826
Iron (mg),9.54,74.32

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
