Food Name,"Teh Tarik"
Description,"Traditional tea with condensed milk, evaporated milk and a frothy texture from pulling"
Food Group,"Beverages"
Food Subgroup,"Tea and related drinks"
Edible Portion,"100%"
Default Serving Size,"1 small cup (150ml) = 150ml"
Alternative Serving Size(s),"1 medium cup (200ml) = 200ml"
Source of Data,"Lab Analysis"
Last Updated,"2023"

,Per 100ml,Per Serving (150ml)
Energy (kcal),48,72
Protein (g),0.6,0.9
Total Fat (g),1.56,2.34
Saturated Fat (g),0.66,0.99
Trans Fat (g),-,-
Carbohydrate (g),7.88,11.82
Sugar (g),6.58,9.87
Added Sugar (g),-,-
Dietary Fibre (g),0.36,0.54
Sodium (mg),21,32
Potassium (mg),-,-
Calcium (mg),-,-
Iron (mg),-,-

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
