Food Name,"Thai milk tea"
Description,"Thai-style black tea with milk or creamer and sugar"
Food Group,"Beverages"
Food Subgroup,"Tea and related drinks"
Edible Portion,"100%"
Default Serving Size,"1 medium cup (500ml) = 527ml"
Alternative Serving Size(s),"-"
Source of Data,"Lab Analysis"
Last Updated,"2018"

,Per 100ml,Per Serving (527ml)
Energy (kcal),57,300
Protein (g),0.5,2.64
Total Fat (g),1.97,10.38
Saturated Fat (g),1.29,6.8
Trans Fat (g),0,0
Carbohydrate (g),9.4,49.54
Sugar (g),9.4,49.54
Added Sugar (g),-,-
Dietary Fibre (g),0.3,1.58
Sodium (mg),15,79
Potassium (mg),-,-
Calcium (mg),15,79
Iron (mg),0.12,0.63

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
