Food Name,"Tomato, yellow, raw"
Description,"Raw yellow tomato, yellow round fruit, soft texture with mild sweet taste."
Food Group,"Vegetables"
Food Subgroup,"Non-leafy vegetables"
Edible Portion,"99%"
Default Serving Size,"1 whole = 212g"
Alternative Serving Size(s),"1 cup(s) = 139g"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (212g)
Energy (kcal),15,31
Protein (g),0.98,2.06
Total Fat (g),0.26,0.55
Saturated Fat (g),0.04,0.08
Trans Fat (g),0,0
Carbohydrate (g),2.98,6.25
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),0.7,1.47
Sodium (mg),23,48
Potassium (mg),258,541
Calcium (mg),11,23
Iron (mg),0.49,1.03

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
