Food Name,"Veal loin chop, raw"
Description,"Raw, uncooked pale red meat from the loin portion of young calf, with bone, displaying a light pink colour with tender texture. Lean muscle meat with internal and external fat attached."
Food Group,"Meat and alternatives"
Food Subgroup,"Beef"
Edible Portion,"69%"
Default Serving Size,"1 whole = 115g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (115g)
Energy (kcal),177,140
Protein (g),20.07,15.93
Total Fat (g),10.07,7.99
Saturated Fat (g),3.61,2.86
Trans Fat (g),Trace,Trace
Carbohydrate (g),0.07,0.06
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),98,78
Potassium (mg),241,191
Calcium (mg),14,11
Iron (mg),0.84,0.67

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
