Food Name,"Vegetable juice (packaged, any flavour)"
Description,"Ready-to-drink juice made from a mix of multiple vegetables"
Food Group,"Beverages"
Food Subgroup,"100% Juices"
Edible Portion,"100%"
Default Serving Size,"1 glass (250ml) = 250ml"
Alternative Serving Size(s),"-"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (250ml)
Energy (kcal),32,80
Protein (g),0.65,1.63
Total Fat (g),0.05,0.13
Saturated Fat (g),0.02,0.05
Trans Fat (g),0,0
Carbohydrate (g),7.83,19.58
Sugar (g),7.37,18.43
Added Sugar (g),-,-
Dietary Fibre (g),1.22,3.05
Sodium (mg),32,80
Potassium (mg),-,-
Calcium (mg),0,0
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
